epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2513.99,0.64315,0.50303,0.90234,0.92231,0.93281,0.92474,0.74205,0.66529,0.51573,0.83799,0.000544776,0.000544776,0.000544776
70,2549.35,0.66414,0.53063,0.92946,0.92344,0.92511,0.91677,0.73496,0.65518,0.51582,0.83816,0.000528272,0.000528272,0.000528272
71,2585.1,0.70228,0.60044,0.92768,0.92772,0.93281,0.92202,0.73906,0.69267,0.52991,0.85731,0.000511769,0.000511769,0.000511769
72,2621.48,0.61611,0.49196,0.91355,0.91073,0.93745,0.92998,0.74802,0.64557,0.50687,0.84074,0.000495266,0.000495266,0.000495266
73,2656.91,0.6294,0.47452,0.90966,0.90901,0.9405,0.92239,0.7372,0.67003,0.50248,0.83886,0.000478762,0.000478762,0.000478762
74,2692.1,0.63373,0.48352,0.89754,0.91519,0.9405,0.92767,0.74149,0.62858,0.50385,0.83916,0.000462259,0.000462259,0.000462259
75,2728.07,0.63129,0.53032,0.91721,0.91275,0.9405,0.92375,0.7402,0.67701,0.51344,0.84162,0.000445756,0.000445756,0.000445756
76,2763.54,0.63952,0.51662,0.91542,0.92109,0.9301,0.91955,0.75159,0.64169,0.50002,0.8407,0.000429253,0.000429253,0.000429253
77,2800.08,0.62182,0.507,0.896,0.91327,0.9405,0.91523,0.72716,0.64476,0.4869,0.84236,0.000412749,0.000412749,0.000412749
78,2835.72,0.62754,0.48752,0.8938,0.9166,0.9405,0.92115,0.72939,0.63717,0.50186,0.84744,0.000396246,0.000396246,0.000396246
79,2871.19,0.63414,0.49875,0.9179,0.92688,0.93281,0.92069,0.73113,0.66822,0.50827,0.83968,0.000379743,0.000379743,0.000379743
80,2906.57,0.61263,0.48048,0.8919,0.91652,0.9405,0.9231,0.73439,0.64492,0.50407,0.84005,0.000363239,0.000363239,0.000363239
81,2942.79,0.62104,0.48873,0.89989,0.90963,0.9405,0.91838,0.73157,0.65238,0.51046,0.82888,0.000346736,0.000346736,0.000346736
82,2978.16,0.6272,0.50592,0.89778,0.91504,0.9405,0.91511,0.73253,0.63334,0.52051,0.8267,0.000330233,0.000330233,0.000330233
83,3013.83,0.59717,0.49236,0.89694,0.9317,0.93882,0.92199,0.74229,0.65434,0.51113,0.83316,0.000313729,0.000313729,0.000313729
84,3049.9,0.60718,0.50715,0.90045,0.92967,0.93281,0.92349,0.75114,0.63596,0.49289,0.83963,0.000297226,0.000297226,0.000297226
85,3086.35,0.58621,0.46692,0.8868,0.92162,0.93989,0.92615,0.7471,0.6387,0.48643,0.84012,0.000280723,0.000280723,0.000280723
86,3122.05,0.63692,0.51002,0.89641,0.91588,0.9405,0.92803,0.74118,0.62103,0.47673,0.8345,0.00026422,0.00026422,0.00026422
87,3159.67,0.57143,0.46625,0.88466,0.91559,0.9405,0.92899,0.74577,0.62874,0.48097,0.83377,0.000247716,0.000247716,0.000247716
88,3197.35,0.60616,0.47867,0.8985,0.91895,0.9405,0.92574,0.7415,0.64734,0.49434,0.833,0.000231213,0.000231213,0.000231213
89,3233.77,0.57699,0.49791,0.88502,0.92739,0.9405,0.92224,0.73841,0.63035,0.49643,0.82715,0.00021471,0.00021471,0.00021471
90,3271.15,0.60328,0.49669,0.90494,0.9296,0.93908,0.92764,0.74357,0.62329,0.47461,0.82737,0.000198206,0.000198206,0.000198206
91,3307.27,0.5575,0.44265,0.88596,0.92537,0.9405,0.92649,0.73717,0.64225,0.49538,0.82823,0.000181703,0.000181703,0.000181703
92,3343.7,0.55991,0.43843,0.88149,0.92447,0.9405,0.92322,0.7467,0.6334,0.47553,0.82841,0.0001652,0.0001652,0.0001652
93,3379.87,0.56479,0.45591,0.87681,0.92193,0.9405,0.92239,0.74569,0.63906,0.47543,0.82819,0.000148696,0.000148696,0.000148696
94,3416.23,0.56738,0.45199,0.86986,0.92197,0.9405,0.92342,0.74356,0.64212,0.47847,0.83235,0.000132193,0.000132193,0.000132193
95,3452.22,0.55009,0.42631,0.88567,0.92164,0.9405,0.92282,0.74514,0.63531,0.49108,0.83197,0.00011569,0.00011569,0.00011569
96,3488.43,0.57546,0.45118,0.88301,0.92074,0.9405,0.92352,0.7445,0.62013,0.48152,0.82947,9.91865e-05,9.91865e-05,9.91865e-05
97,3525.17,0.54631,0.42352,0.84577,0.93092,0.93926,0.92541,0.74512,0.62107,0.47482,0.8271,8.26832e-05,8.26832e-05,8.26832e-05
98,3561.13,0.55081,0.43495,0.87883,0.9306,0.93738,0.92717,0.74487,0.62332,0.46735,0.82627,6.61799e-05,6.61799e-05,6.61799e-05
99,3596.8,0.57222,0.4376,0.87728,0.93077,0.93748,0.92965,0.74864,0.6223,0.46555,0.82703,4.96766e-05,4.96766e-05,4.96766e-05
100,3633.5,0.55118,0.42881,0.87645,0.9309,0.9376,0.92963,0.74675,0.61822,0.46448,0.82551,3.31733e-05,3.31733e-05,3.31733e-05
